,fake_dir,transform,repo_id,distance_metric,acc,ap,auc,tpr5fpr
173,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/IT2I/pixiv,clean,max,lpips_vgg_4,0.49609375,0.4952122212087721,0.489715576171875,0.046875
189,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/IT2I/pixiv,clean,max,lpips_vgg_5,0.51171875,0.5214823488706166,0.51153564453125,0.078125
14,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/T2I/art,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.48046875,0.3514855162157444,0.216796875,0.0
30,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/T2I/art,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.48046875,0.3313813657504718,0.140777587890625,0.0
46,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/T2I/art,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.48046875,0.33073255605257174,0.1285400390625,0.0
62,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/T2I/art,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.48046875,0.3375967523943915,0.15911865234375,0.0
78,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/T2I/art,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.48046875,0.37341424676269075,0.293914794921875,0.0
94,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/T2I/art,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.48046875,0.4273222891286245,0.432891845703125,0.0
110,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/T2I/art,clean,max,lpips_vgg_0,0.48046875,0.3514855162157444,0.216796875,0.0
126,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/T2I/art,clean,max,lpips_vgg_1,0.48046875,0.3313813657504718,0.140777587890625,0.0
142,/home/stu14/s16/acm7552/Capstone/data/ARIA_dataset/DreamStudio/T2I/art,clean,max,lpips_vgg_2,0.48046875,0.33073255605257174,0.1285400390625,0.0
