,fake_dir,transform,repo_id,distance_metric,acc,ap,auc,tpr5fpr
1,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_post_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.48046875,0.36060802401003056,0.2454833984375,0.0
21,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_post_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.48046875,0.46786374148755394,0.4940185546875,0.0
41,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_post_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.48046875,0.40661825305474264,0.35333251953125,0.0
61,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_post_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.48046875,0.36596149038548026,0.26019287109375,0.0
81,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_post_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.48046875,0.3419031907527092,0.187286376953125,0.0
101,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_post_impressionism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.48046875,0.33865818534513353,0.17462158203125,0.0
121,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_post_impressionism,clean,max,lpips_vgg_0,0.48046875,0.36060802401003056,0.2454833984375,0.0
141,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_post_impressionism,clean,max,lpips_vgg_1,0.48046875,0.46786374148755394,0.4940185546875,0.0
161,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_post_impressionism,clean,max,lpips_vgg_2,0.48046875,0.40661825305474264,0.35333251953125,0.0
181,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_post_impressionism,clean,max,lpips_vgg_3,0.48046875,0.36596149038548026,0.26019287109375,0.0
201,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_post_impressionism,clean,max,lpips_vgg_4,0.48046875,0.3419031907527092,0.187286376953125,0.0
221,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_post_impressionism,clean,max,lpips_vgg_5,0.48046875,0.33865818534513353,0.17462158203125,0.0
6,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_realism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.48046875,0.5435893391040826,0.61663818359375,0.0
26,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_realism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.5078125,0.6923621272642958,0.772674560546875,0.0703125
46,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_realism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.484375,0.6103408565171059,0.68994140625,0.0078125
66,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_realism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.48046875,0.5144163510712171,0.56854248046875,0.0
86,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_realism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.48046875,0.4644606584882238,0.5,0.0
106,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_realism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.48046875,0.4832661559064435,0.5338134765625,0.0
126,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_realism,clean,max,lpips_vgg_0,0.48046875,0.5435893391040826,0.61663818359375,0.0
146,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_realism,clean,max,lpips_vgg_1,0.5078125,0.6923621272642958,0.772674560546875,0.0703125
166,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_realism,clean,max,lpips_vgg_2,0.484375,0.6103408565171059,0.68994140625,0.0078125
186,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_realism,clean,max,lpips_vgg_3,0.48046875,0.5144163510712171,0.56854248046875,0.0
206,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_realism,clean,max,lpips_vgg_4,0.48046875,0.4644606584882238,0.5,0.0
226,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_realism,clean,max,lpips_vgg_5,0.48046875,0.4832661559064435,0.5338134765625,0.0
9,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_renaissance,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.48046875,0.5807051974071132,0.685028076171875,0.0
29,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_renaissance,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.48828125,0.6119137372815349,0.710205078125,0.015625
49,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_renaissance,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.48046875,0.6212894888133769,0.72442626953125,0.0
69,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_renaissance,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.48046875,0.5381269244671997,0.61822509765625,0.0
