,fake_dir,transform,repo_id,distance_metric,ap,tpr5fpr
164,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_renaissance,clean,max,lpips_vgg_3,0.9962466348762173,1.0
181,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_renaissance,clean,max,lpips_vgg_4,0.9881080248581617,0.98
198,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_renaissance,clean,max,lpips_vgg_5,0.9940087208691348,0.94
16,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_romanticism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.9820362667503665,0.9
33,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_romanticism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_1,0.9769585694314753,0.78
50,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_romanticism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_2,0.9758333358837287,0.82
67,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_romanticism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_3,0.9793101883795796,0.98
84,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_romanticism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_4,0.9326124458838635,0.78
101,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_romanticism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_5,0.9260852813950751,0.4
118,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_romanticism,clean,max,lpips_vgg_0,0.9820362667503665,0.9
135,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_romanticism,clean,max,lpips_vgg_1,0.9769585694314753,0.78
152,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_romanticism,clean,max,lpips_vgg_2,0.9758333358837287,0.82
169,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_romanticism,clean,max,lpips_vgg_3,0.9793101883795796,0.98
186,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_romanticism,clean,max,lpips_vgg_4,0.9326124458838635,0.78
203,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_romanticism,clean,max,lpips_vgg_5,0.9260852813950751,0.4
2,/home/stu14/s16/acm7552/Capstone/data/Real_AI_SD_LD_Dataset/test/AI_LD_surrealism,clean,CompVis/stable-diffusion-v1-1,lpips_vgg_0,0.9444316126289137,0.6
